celltype_id,sample_id
17-fetal-fibroblast,adult-omentum-2
17-fetal-fibroblast,adult-stomach-3.1
17-fetal-fibroblast,adult-stomach-3.3
17-fetal-fibroblast,adult-uterus-1
17-fetal-fibroblast,fetal-adrenal-gland-2
17-fetal-fibroblast,fetal-adrenal-gland-3
17-fetal-fibroblast,fetal-adrenal-gland-4
17-fetal-fibroblast,fetal-calvaria-1
17-fetal-fibroblast,fetal-eyes-1
17-fetal-fibroblast,fetal-female-gonad-1
17-fetal-fibroblast,fetal-female-gonad-2
17-fetal-fibroblast,fetal-heart-1
17-fetal-fibroblast,fetal-heart-2
17-fetal-fibroblast,fetal-intestine-4
17-fetal-fibroblast,fetal-intestine-5
17-fetal-fibroblast,fetal-kidney-3
17-fetal-fibroblast,fetal-kidney-4
17-fetal-fibroblast,fetal-kidney-5
17-fetal-fibroblast,fetal-kidney-6
17-fetal-fibroblast,fetal-liver-1.1
17-fetal-fibroblast,fetal-lung-2
17-fetal-fibroblast,fetal-male-gonad-1
17-fetal-fibroblast,fetal-male-gonad-2
17-fetal-fibroblast,fetal-muscle-1
17-fetal-fibroblast,fetal-pancreas-2
17-fetal-fibroblast,fetal-pancreas-3
17-fetal-fibroblast,fetal-rib-2
17-fetal-fibroblast,fetal-skin-3
17-fetal-fibroblast,fetal-stomach-2
17-fetal-fibroblast,neonatal-adrenal-gland-1.1
17-fetal-fibroblast,neonatal-adrenal-gland-1.2
17-fetal-fibroblast,placenta-1
18-fibroblast,adult-adipose-1
18-fibroblast,adult-adrenal-gland-1
18-fibroblast,adult-adrenal-gland-2
18-fibroblast,adult-artery-1
18-fibroblast,adult-bladder-1
18-fibroblast,adult-bladder-2
18-fibroblast,adult-cervix-1
18-fibroblast,adult-fallopian-tube-1
18-fibroblast,adult-gall-bladder-1
18-fibroblast,adult-gall-bladder-2
18-fibroblast,adult-heart-1
18-fibroblast,adult-heart-2
18-fibroblast,adult-intestine-4
18-fibroblast,adult-intestine-5
18-fibroblast,adult-intestine-6
18-fibroblast,adult-kidney-4.1
18-fibroblast,adult-lung-1
18-fibroblast,adult-lung-2
18-fibroblast,adult-lung-3.1
18-fibroblast,adult-lung-3.2
18-fibroblast,adult-lung-3.3
18-fibroblast,adult-lung-3.4
18-fibroblast,adult-muscle-1
18-fibroblast,adult-omentum-2
18-fibroblast,adult-omentum-3
18-fibroblast,adult-pleura-1
18-fibroblast,adult-sigmoid-colon-1
18-fibroblast,adult-spleen-1.2
18-fibroblast,adult-stomach-2
18-fibroblast,adult-stomach-3.1
18-fibroblast,adult-stomach-3.2
18-fibroblast,adult-stomach-3.3
18-fibroblast,adult-thyroid-1
18-fibroblast,adult-thyroid-2
18-fibroblast,adult-trachea-2
18-fibroblast,adult-transverse-colon-1
18-fibroblast,adult-transverse-colon-2.2
18-fibroblast,adult-uterus-1
19-fetal-mesenchymal-progenitor,adult-lung-2
19-fetal-mesenchymal-progenitor,adult-lung-3.1
19-fetal-mesenchymal-progenitor,adult-lung-3.4
19-fetal-mesenchymal-progenitor,adult-omentum-2
19-fetal-mesenchymal-progenitor,chorionic-villus-1
19-fetal-mesenchymal-progenitor,fetal-adrenal-gland-2
19-fetal-mesenchymal-progenitor,fetal-adrenal-gland-3
19-fetal-mesenchymal-progenitor,fetal-adrenal-gland-4
19-fetal-mesenchymal-progenitor,fetal-brain-3
19-fetal-mesenchymal-progenitor,fetal-brain-4
19-fetal-mesenchymal-progenitor,fetal-brain-5
19-fetal-mesenchymal-progenitor,fetal-brain-6
19-fetal-mesenchymal-progenitor,fetal-calvaria-1
19-fetal-mesenchymal-progenitor,fetal-eyes-1
19-fetal-mesenchymal-progenitor,fetal-female-gonad-1
19-fetal-mesenchymal-progenitor,fetal-female-gonad-2
19-fetal-mesenchymal-progenitor,fetal-heart-1
